iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
170,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
171,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
172,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
173,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
174,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
175,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
176,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
177,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
178,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
179,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
180,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
181,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
182,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
183,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
184,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
185,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
186,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
187,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
188,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
189,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
190,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
191,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
192,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
193,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
194,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
195,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
196,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
197,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
198,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
199,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
200,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
201,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
202,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
203,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
204,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
205,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
206,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
207,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
208,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
209,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
210,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
211,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
212,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
213,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
214,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
215,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
216,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
217,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
218,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
219,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
220,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
221,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
222,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
223,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
224,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
225,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
226,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
227,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
228,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
229,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
230,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
231,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
232,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
233,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
234,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
235,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
236,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
237,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
238,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
239,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
240,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
241,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
242,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
243,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
