iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
69,READ COMMITTED,8,8,0,1,entity_id=34000069 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
70,READ COMMITTED,8,8,0,1,entity_id=34000070 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=11 accepted=8
71,READ COMMITTED,8,8,0,1,entity_id=34000071 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
72,READ COMMITTED,8,8,0,1,entity_id=34000072 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
73,READ COMMITTED,8,8,0,1,entity_id=34000073 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
74,READ COMMITTED,8,8,0,1,entity_id=34000074 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
75,READ COMMITTED,8,8,0,1,entity_id=34000075 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
76,READ COMMITTED,8,8,0,1,entity_id=34000076 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
77,READ COMMITTED,8,8,0,1,entity_id=34000077 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=3 accepted=8
78,READ COMMITTED,8,8,0,1,entity_id=34000078 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
79,READ COMMITTED,8,8,0,1,entity_id=34000079 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=16 accepted=8
80,READ COMMITTED,8,8,0,1,entity_id=34000080 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
81,READ COMMITTED,8,8,0,1,entity_id=34000081 attribute='s4_slot' has 2 live rows; expected <= 1,fact=8 audit=7 accepted=8
82,READ COMMITTED,8,8,0,1,entity_id=34000082 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=9 accepted=8
83,READ COMMITTED,8,8,0,1,entity_id=34000083 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=6 accepted=8
84,READ COMMITTED,8,8,0,1,entity_id=34000084 attribute='s4_slot' has 2 live rows; expected <= 1,fact=8 audit=12 accepted=8
85,READ COMMITTED,8,8,0,1,entity_id=34000085 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=3 accepted=8
86,READ COMMITTED,8,8,0,1,entity_id=34000086 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=1 accepted=8
